code;ccp_location_id;name;latitude;length
CCP0811;8;MERCAL ZONA INDUSTRIAL;8.61868382452506;-71.6488077988544
CCP0812;8;OFICINA DE ATENCION A LA VICTIMA;8.61868382452506;-71.6488077988544
CCP0813;8;OFICINA DE MANTENIMIENTO DE UNIDADES;8.61868382452506;-71.6488077988544
CCP0814;8;OFICINA DE SECRETARIA DE APOYO;8.61868382452506;-71.6488077988544
CCP0815;8;PATRULLAJE MOTORIZADO;8.61868382452506;-71.6488077988544
CCP0816;8;POLICIA COMUNAL;8.61868382452506;-71.6488077988544
CCP0817;8;SECCION DE REGISTRO Y CONTROL DE DETENIDOS;8.61868382452506;-71.6488077988544
CCP0818;8;SERVICIO DE POLICIA COMUNAL;8.61868382452506;-71.6488077988544
CCP0819;8;SERVICIOS GENERALES CCP8;8.61868382452506;-71.6488077988544
CCP0901;9;ESTACION POLICIAL GUAYABONES;8.81907431344014;-71.4645945667561
CCP0902;9;ESTACION POLICIAL LA AZULITA;8.81907431344014;-71.4645945667561
CCP0903;9;ESTACION POLICIAL SAN RAFAEL DE ALCAZAR;8.81907431344014;-71.4645945667561
CCP0904;9;SERVICIOS GENERALES CCP9;8.81907431344014;-71.4645945667561
CCP1001;10;ESTACION POLICIAL ARAPUEY;9.14771715035242;-71.097684444143
CCP1002;10;ESTACION POLICIAL LAS VIRTUDES;9.14771715035242;-71.097684444143
CCP1003;10;ESTACION POLICIAL NUEVA BOLIVIA;9.14771715035242;-71.097684444143
CCP1004;10;ESTACION POLICIAL PALMARITO;9.14771715035242;-71.097684444143
CCP1005;10;ESTACION POLICIAL SANTA APOLONIA;9.14771715035242;-71.097684444143
CCP1006;10;ESTACION POLICIAL TORONDOY;9.14771715035242;-71.097684444143
CCP1007;10;ESTACION POLICIAL TUCANI;9.14771715035242;-71.097684444143
CCP1008;10;SEDE DEL BANCO AGRICOLA;9.14771715035242;-71.097684444143
CCP1009;10;SERVICIOS GENERALES CCP10;9.14771715035242;-71.097684444143
CCP1101;11;ESTACION POLICIAL CACUTE;8.74776117194905;-70.9214894454958
CCP1102;11;ESTACION POLICIAL MUCUCHIES;8.74776117194905;-70.9214894454958
CCP1103;11;ESTACION POLICIAL MUCURUBA;8.74776117194905;-70.9214894454958
CCP1104;11;ESTACION POLICIAL TABAY;8.74776117194905;-70.9214894454958
CCP1105;11;SERVICIOS GENERALES CCP11;8.74776117194905;-70.9214894454958
CCP1201;12;SERVICIOS GENERALES CCP12;8.86010931212884;-70.6972503473667
CCP1301;13;SERVICIOS GENERALES CCP13;8.98599376533987;-70.7389540422297
CCP1401;14;SERVICIOS GENERALES CCP14;7.71526969537751;-71.4657845220231
DGP0101;15;ARCHIVO PASIVO;8.59040082926805;-71.1549901860163
DGP0102;15;ASOCIACION DE JUBILADOS Y PENSIONADOS;8.59040082926805;-71.1549901860163
DGP0104;15;CONSEJO DISCIPLINARIO;8.59040082926805;-71.1549901860163
DGP0105;15;COORDINACION DEL SERVICIO DE VIGILANCIA Y TRANSPORTE TERRESTRE EL ANIS;8.59040082926805;-71.1549901860163
DGP0106;15;CUADRANTES Y PATRULLAJE INTELIGENTE;8.59040082926805;-71.1549901860163
DGP0107;15;DEPARTAMENTO DE BIENESTAR SOCIAL;8.59040082926805;-71.1549901860163
DGP0108;15;DEPARTAMENTO DE EVALUACION DEL DESEMPENO;8.59040082926805;-71.1549901860163
DGP0109;15;DIEMP;8.59040082926805;-71.1549901860163
DGP0110;15;DIRECCION DE CONTROL DE REUNIONES PUBLICAS Y MANIFESTACIONES;8.59040082926805;-71.1549901860163
DGP0111;15;DIRECCION DE INTELIGENCIA ESTRATEGICA Y PREVENTIVA;8.59040082926805;-71.1549901860163
DGP0112;15;DIRECCION DE OPERACIONES;8.59040082926805;-71.1549901860163
DGP0113;15;DIRECCION DE OPERACIONES UENNAPEM EJIDO;8.59040082926805;-71.1549901860163
DGP0114;15;DIRECCION DE OPERACIONES UENNAPEM EL PARAMO;8.59040082926805;-71.1549901860163
DGP0115;15;DIRECCION DE OPERACIONES UENNAPEM EL VIGIA;8.59040082926805;-71.1549901860163
DGP0116;15;DIRECCION DE OPERACIONES UENNAPEM LAGUNILLAS;8.59040082926805;-71.1549901860163
DGP0117;15;DIRECCION DE OPERACIONES UENNAPEM MERIDA;8.59040082926805;-71.1549901860163
DGP0118;15;DIRECCION DE OPERACIONES UENNAPEM TOVAR;8.59040082926805;-71.1549901860163
DGP0120;15;DIRECCION DE RECURSOS HUMANOS;8.59040082926805;-71.1549901860163
DGP0121;15;DIRECCION GENERAL;8.59040082926805;-71.1549901860163
DGP0122;15;DIRECCION GENERAL SECCION DE REGISTRO Y RESGUARDO DE EVIDENCIAS;8.59040082926805;-71.1549901860163
DGP0123;15;INSPECTORIA PARA EL CONTROL DE LA ACTUACION POLICIAL;8.59040082926805;-71.1549901860163
DGP0124;15;OFICINA DE ADMINISTRACION;8.59040082926805;-71.1549901860163
DGP0125;15;OFICINA DE ASESORIA JURIDICA;8.59040082926805;-71.1549901860163
DGP0126;15;OFICINA DE ATENCION CIUDADANA;8.59040082926805;-71.1549901860163
DGP0127;15;OFICINA DE COMUNICACIONES Y RELACIONES INSTITUCIONALES;8.59040082926805;-71.1549901860163
DGP0128;15;OFICINA DE PLANIFICACION Y PRESUPUESTO;8.59040082926805;-71.1549901860163
DGP0129;15;OFICINA DE SIETPOL;8.59040082926805;-71.1549901860163
DGP0130;15;OFICINA DE SISTEMAS Y TECNOLOGIA DE INFORMACION;8.59040082926805;-71.1549901860163
DGP0131;15;SALA SITUACIONAL;8.59040082926805;-71.1549901860163
DGP0132;15;SECCION DE CONTROL Y MANTENIMIENTO DE ARMAMENTO;8.59040082926805;-71.1549901860163
DGP0133;15;SECCION DE EDUCACION;8.59040082926805;-71.1549901860163
DGP0134;15;SECCION DE TRANSPORTE Y MANTENIMIENTO ;8.59040082926805;-71.1549901860163
DGP0135;15;SECRETARIA DE IGUALDAD Y EQUIDAD DE GENERO;8.59040082926805;-71.1549901860163
DGP0136;15;SEDE CAPPOLIMER DIAGONAL CAMARA DE COMERCIO;8.59040082926805;-71.1549901860163
DGP0137;15;SEGURIDAD Y SALUD LABORAL;8.59040082926805;-71.1549901860163
DGP0138;15;SUB-DIRECCION;8.59040082926805;-71.1549901860163
DGP0139;15;UNIDAD DE PATRULLAJE RURAL;8.59040082926805;-71.1549901860163
