ccp_location_id,code,name,latitude,length
8,CCP0811,MERCAL ZONA INDUSTRIAL,8.61868382452506,-71.6488077988544
8,CCP0812,OFICINA DE ATENCION A LA VICTIMA,8.61868382452506,-71.6488077988544
8,CCP0813,OFICINA DE MANTENIMIENTO DE UNIDADES,8.61868382452506,-71.6488077988544
8,CCP0814,OFICINA DE SECRETARIA DE APOYO,8.61868382452506,-71.6488077988544
8,CCP0815,PATRULLAJE MOTORIZADO,8.61868382452506,-71.6488077988544
8,CCP0816,POLICIA COMUNAL,8.61868382452506,-71.6488077988544
8,CCP0817,SECCION DE REGISTRO Y CONTROL DE DETENIDOS,8.61868382452506,-71.6488077988544
8,CCP0818,SERVICIO DE POLICIA COMUNAL,8.61868382452506,-71.6488077988544
8,CCP0819,SERVICIOS GENERALES CCP8,8.61868382452506,-71.6488077988544
9,CCP0901,ESTACION POLICIAL GUAYABONES,8.81907431344014,-71.4645945667561
9,CCP0902,ESTACION POLICIAL LA AZULITA,8.81907431344014,-71.4645945667561
9,CCP0903,ESTACION POLICIAL SAN RAFAEL DE ALCAZAR,8.81907431344014,-71.4645945667561
9,CCP0904,SERVICIOS GENERALES CCP9,8.81907431344014,-71.4645945667561
10,CCP1001,ESTACION POLICIAL ARAPUEY,9.14771715035242,-71.097684444143
10,CCP1002,ESTACION POLICIAL LAS VIRTUDES,9.14771715035242,-71.097684444143
10,CCP1003,ESTACION POLICIAL NUEVA BOLIVIA,9.14771715035242,-71.097684444143
10,CCP1004,ESTACION POLICIAL PALMARITO,9.14771715035242,-71.097684444143
10,CCP1005,ESTACION POLICIAL SANTA APOLONIA,9.14771715035242,-71.097684444143
10,CCP1006,ESTACION POLICIAL TORONDOY,9.14771715035242,-71.097684444143
10,CCP1007,ESTACION POLICIAL TUCANI,9.14771715035242,-71.097684444143
10,CCP1008,SEDE DEL BANCO AGRICOLA,9.14771715035242,-71.097684444143
10,CCP1009,SERVICIOS GENERALES CCP10,9.14771715035242,-71.097684444143
11,CCP1101,ESTACION POLICIAL CACUTE,8.74776117194905,-70.9214894454958
11,CCP1102,ESTACION POLICIAL MUCUCHIES,8.74776117194905,-70.9214894454958
11,CCP1103,ESTACION POLICIAL MUCURUBA,8.74776117194905,-70.9214894454958
11,CCP1104,ESTACION POLICIAL TABAY,8.74776117194905,-70.9214894454958
11,CCP1105,SERVICIOS GENERALES CCP11,8.74776117194905,-70.9214894454958
12,CCP1201,SERVICIOS GENERALES CCP12,8.86010931212884,-70.6972503473667
13,CCP1301,SERVICIOS GENERALES CCP13,8.98599376533987,-70.7389540422297
14,CCP1401,SERVICIOS GENERALES CCP14,7.71526969537751,-71.4657845220231
15,DGP0101,ARCHIVO PASIVO,8.59040082926805,-71.1549901860163
15,DGP0102,ASOCIACION DE JUBILADOS Y PENSIONADOS,8.59040082926805,-71.1549901860163
15,DGP0104,CONSEJO DISCIPLINARIO,8.59040082926805,-71.1549901860163
15,DGP0105,COORDINACION DEL SERVICIO DE VIGILANCIA Y TRANSPORTE TERRESTRE EL ANIS,8.59040082926805,-71.1549901860163
15,DGP0106,CUADRANTES Y PATRULLAJE INTELIGENTE,8.59040082926805,-71.1549901860163
15,DGP0107,DEPARTAMENTO DE BIENESTAR SOCIAL,8.59040082926805,-71.1549901860163
15,DGP0108,DEPARTAMENTO DE EVALUACION DEL DESEMPENO,8.59040082926805,-71.1549901860163
15,DGP0109,DIEMP,8.59040082926805,-71.1549901860163
15,DGP0110,DIRECCION DE CONTROL DE REUNIONES PUBLICAS Y MANIFESTACIONES,8.59040082926805,-71.1549901860163
15,DGP0111,DIRECCION DE INTELIGENCIA ESTRATEGICA Y PREVENTIVA,8.59040082926805,-71.1549901860163
15,DGP0112,DIRECCION DE OPERACIONES,8.59040082926805,-71.1549901860163
15,DGP0113,DIRECCION DE OPERACIONES UENNAPEM EJIDO,8.59040082926805,-71.1549901860163
15,DGP0114,DIRECCION DE OPERACIONES UENNAPEM EL PARAMO,8.59040082926805,-71.1549901860163
15,DGP0115,DIRECCION DE OPERACIONES UENNAPEM EL VIGIA,8.59040082926805,-71.1549901860163
15,DGP0116,DIRECCION DE OPERACIONES UENNAPEM LAGUNILLAS,8.59040082926805,-71.1549901860163
15,DGP0117,DIRECCION DE OPERACIONES UENNAPEM MERIDA,8.59040082926805,-71.1549901860163
15,DGP0118,DIRECCION DE OPERACIONES UENNAPEM TOVAR,8.59040082926805,-71.1549901860163
15,DGP0120,DIRECCION DE RECURSOS HUMANOS,8.59040082926805,-71.1549901860163
15,DGP0121,DIRECCION GENERAL,8.59040082926805,-71.1549901860163
15,DGP0122,DIRECCION GENERAL SECCION DE REGISTRO Y RESGUARDO DE EVIDENCIAS,8.59040082926805,-71.1549901860163
15,DGP0123,INSPECTORIA PARA EL CONTROL DE LA ACTUACION POLICIAL,8.59040082926805,-71.1549901860163
15,DGP0124,OFICINA DE ADMINISTRACION,8.59040082926805,-71.1549901860163
15,DGP0125,OFICINA DE ASESORIA JURIDICA,8.59040082926805,-71.1549901860163
15,DGP0126,OFICINA DE ATENCION CIUDADANA,8.59040082926805,-71.1549901860163
15,DGP0127,OFICINA DE COMUNICACIONES Y RELACIONES INSTITUCIONALES,8.59040082926805,-71.1549901860163
15,DGP0128,OFICINA DE PLANIFICACION Y PRESUPUESTO,8.59040082926805,-71.1549901860163
15,DGP0129,OFICINA DE SIETPOL,8.59040082926805,-71.1549901860163
15,DGP0130,OFICINA DE SISTEMAS Y TECNOLOGIA DE INFORMACION,8.59040082926805,-71.1549901860163
15,DGP0131,SALA SITUACIONAL,8.59040082926805,-71.1549901860163
15,DGP0132,SECCION DE CONTROL Y MANTENIMIENTO DE ARMAMENTO,8.59040082926805,-71.1549901860163
15,DGP0133,SECCION DE EDUCACION,8.59040082926805,-71.1549901860163
15,DGP0134,SECCION DE TRANSPORTE Y MANTENIMIENTO ,8.59040082926805,-71.1549901860163
15,DGP0135,SECRETARIA DE IGUALDAD Y EQUIDAD DE GENERO,8.59040082926805,-71.1549901860163
15,DGP0136,SEDE CAPPOLIMER DIAGONAL CAMARA DE COMERCIO,8.59040082926805,-71.1549901860163
15,DGP0137,SEGURIDAD Y SALUD LABORAL,8.59040082926805,-71.1549901860163
15,DGP0138,SUB-DIRECCION,8.59040082926805,-71.1549901860163
15,DGP0139,UNIDAD DE PATRULLAJE RURAL,8.59040082926805,-71.1549901860163
